ticker,date,close,volume,tri,mktcap
9618 HK Equity,2022-05-04,239.6,7617477.0,239.6,760892.5894
9618 HK Equity,2022-05-05,241.6,10533336.0,241.6,763289.0136
9618 HK Equity,2022-05-06,226.6,11118477.0,226.6,715899.3811
9618 HK Equity,2022-05-10,208.0,27481497.0,208.0,657136.2368
9618 HK Equity,2022-05-11,208.2,20039496.0,208.2,657768.0986
9618 HK Equity,2022-05-12,192.0,22275662.0,192.0,606587.2956
9618 HK Equity,2022-05-13,199.6,14049091.0,199.6,630598.0427
9618 HK Equity,2022-05-16,200.0,8207444.0,200.0,631861.7662
9618 HK Equity,2022-05-17,214.8,15919535.0,214.8,678619.5369
9618 HK Equity,2022-05-18,212.4,15135344.0,212.4,671037.1957
9618 HK Equity,2022-05-19,199.8,13923745.0,204.744,631229.9044
9618 HK Equity,2022-05-20,211.6,14984250.0,216.836,668509.7486
9618 HK Equity,2022-05-23,212.8,18768024.0,218.066,672300.9192
9618 HK Equity,2022-05-24,201.6,17941973.0,206.589,636916.6603
9618 HK Equity,2022-05-25,198.6,9777705.0,203.514,627438.7338
9618 HK Equity,2022-05-26,197.4,7491959.0,202.285,623647.5632
9618 HK Equity,2022-05-27,208.4,12177627.0,213.557,658399.9604
9618 HK Equity,2022-05-30,222.8,17275282.0,228.313,695914.7281
9618 HK Equity,2022-05-31,226.0,25198704.0,231.593,714003.7958
9618 HK Equity,2022-06-01,224.2,12871097.0,229.748,708317.0399
9618 HK Equity,2022-06-02,221.4,11386613.0,226.879,699470.9752
9618 HK Equity,2022-06-06,231.8,14583426.0,237.536,732327.787
9618 HK Equity,2022-06-07,238.8,17532537.0,244.709,754442.9488
9618 HK Equity,2022-06-08,254.2,26010177.0,260.49,803096.3048
9618 HK Equity,2022-06-09,249.0,19851258.0,255.162,786667.8989
9618 HK Equity,2022-06-10,250.8,27221560.0,257.006,792354.6548
9618 HK Equity,2022-06-13,239.2,20692445.0,245.119,755706.6724
9618 HK Equity,2022-06-14,241.2,13094185.0,247.169,762025.29
9618 HK Equity,2022-06-15,250.4,11077400.0,256.596,791090.9313
9618 HK Equity,2022-06-16,246.2,15693587.0,252.292,777821.8342
9618 HK Equity,2022-06-17,261.2,58700625.0,267.664,825211.4667
9618 HK Equity,2022-06-20,254.4,16459309.0,260.695,794617.1761
9618 HK Equity,2022-06-21,256.8,8504328.0,263.155,811310.5078
9618 HK Equity,2022-06-22,240.8,12334897.0,246.759,760761.5665
9618 HK Equity,2022-06-23,243.6,8906182.0,249.628,769607.6312
9618 HK Equity,2022-06-24,249.8,10718920.0,255.981,789195.346
9618 HK Equity,2022-06-27,265.4,18527398.0,271.967,838480.5637
9618 HK Equity,2022-06-28,259.4,16016499.0,265.819,819524.7108
