date,Unconditional,Off when VHSI>25,Off when HSI<200dMA,Vol-target 15%
2019-02-28,1.1434218214895668,1.220973225499873,1.4482966215704336,1.1491004487235192
2019-03-31,1.0974741276797264,1.1719091768164245,1.3900977237856653,1.0974471155776504
2019-04-30,1.1207922522337608,1.1968088290832122,1.419633246353331,1.1242652070833585
2019-05-31,1.1834886561408788,1.2637575518266633,1.419633246353331,1.208367478848669
2019-06-30,1.1891699392008577,1.2698241620420285,1.4264481306972074,1.2149221555806422
2019-07-31,1.2005221325692337,1.2819463062000154,1.4400654569310976,1.228161211762103
2019-08-31,1.1836101927427767,1.2638873315230506,1.4400654569310976,1.2069606078019728
2019-09-30,1.2748254955201082,1.3612892179956204,1.4400654569310976,1.3775167346430042
2019-10-31,1.2744351796132474,1.3608724293155312,1.4400654569310976,1.3769484938130672
2019-11-30,1.22918209862021,1.3125501048457249,1.4400654569310976,1.3102962794502013
2019-12-31,1.2701469857175507,1.3562933930981038,1.4880584426100976,1.366468802153593
2020-01-31,1.3727325426202608,1.465836709437852,1.4880584426100976,1.5048123155001036
2020-02-29,1.4132546435843967,1.465836709437852,1.4880584426100976,1.5534475263206171
2020-03-31,1.524128010919496,1.465836709437852,1.4880584426100976,1.6872857363069163
2020-04-30,1.7219165813537933,1.465836709437852,1.4880584426100976,1.9352934802167485
2020-05-31,1.964589635922318,1.465836709437852,1.4880584426100976,2.181450442782973
2020-06-30,2.092467618541772,1.465836709437852,1.4880584426100976,2.290316096975466
2020-07-31,2.1362107914202073,1.4964801220404238,1.4880584426100976,2.327811941034022
2020-08-31,2.3969093373645687,1.6791073203569393,1.4880584426100976,2.5529472028803823
2020-09-30,2.602805952873428,1.8233441126912586,1.4880584426100976,2.728343520443746
2020-10-31,2.3742564018926307,1.8233441126912586,1.4880584426100976,2.5377375410646468
2020-11-30,2.8926101615247046,2.2214212854696953,1.8129351861936134,2.8914410571638944
2020-12-31,3.0307065754877254,2.3274743988497537,1.8994867206142605,2.970065131872542
2021-01-31,2.7130560580058845,2.3274743988497537,1.7004001628349397,2.7912746047320436
2021-02-28,2.6236869114509087,2.3274743988497537,1.6443883045815595,2.7479587019818372
2021-03-31,2.7177894073098017,2.4109527853232064,1.703366776039774,2.792588708537509
2021-04-30,2.817962186550054,2.4998161242093175,1.766149780330865,2.839236449276942
2021-05-31,3.0491718521784024,2.7049223718976143,1.9110597802268579,2.9482735145814223
2021-06-30,3.068198686608161,2.721801089336475,1.9229847945541974,2.9572775774803226
2021-07-31,3.357822693109432,2.721801089336475,1.9229847945541974,3.093655520821528
2021-08-31,3.271929009245355,2.652176947839034,1.9229847945541974,3.055595547091091
2021-09-30,3.3080255715460316,2.68143628389418,1.9229847945541974,3.07215128019548
2021-10-31,3.38698536887026,2.7454399201826276,1.9229847945541974,3.108876274534983
2021-11-30,3.34609010158517,2.7122908253022815,1.9229847945541974,3.0883256421868883
2021-12-31,3.291468710898082,2.668015539124047,1.9229847945541974,3.0478287846960925
2022-01-31,3.614154143806664,2.9295795474339306,1.9229847945541974,3.2902071028339086
2022-02-28,3.9161149417545844,2.9295795474339306,1.9229847945541974,3.5493473497393886
2022-03-31,4.014584892588285,2.9295795474339306,1.9229847945541974,3.635523358401467
2022-04-30,4.204817284502961,2.9295795474339306,1.9229847945541974,3.801553296376792
2022-05-31,3.292726559315483,2.9295795474339306,1.9229847945541974,3.0097127326121367
2022-06-30,3.5544541426631566,2.9295795474339306,1.9229847945541974,3.134294624761891
2022-07-31,3.4388638865532006,2.834310108979828,1.9229847945541974,3.082681619660792
2022-08-31,3.85315283276118,3.1757668769744494,1.9229847945541974,3.277042792866122
2022-09-30,3.6227999345421638,3.1757668769744494,1.9229847945541974,3.1809891778674193
2022-10-31,2.983463498386698,3.1757668769744494,1.9229847945541974,2.9142131336122055
2022-11-30,2.8469243463274005,3.1757668769744494,1.9229847945541974,2.859652759241268
2022-12-31,2.7128838353353304,3.1757668769744494,1.8324457309417275,2.804908791985125
2023-01-31,2.9363151794384885,3.4373209666256868,1.9833647667395857,2.89831734367888
2023-02-28,2.900605073249309,3.4373209666256868,1.9592440024128857,2.8838821480357724
2023-03-31,3.202247031489753,3.4373209666256868,2.1629912146787147,3.0119271453488348
2023-04-30,3.212191780280822,3.4479957500484586,2.169708499152943,3.015712923172721
2023-05-31,2.9982551532983415,3.4479957500484586,2.169708499152943,2.9332479070910384
2023-06-30,2.871325759394592,3.30202684868431,2.169708499152943,2.871306435349225
2023-07-31,3.129517024017872,3.30202684868431,2.364809935981307,3.0057244212642074
2023-08-31,3.2860830665204843,3.30202684868431,2.364809935981307,3.079623201977905
2023-09-30,3.2294811808412316,3.2451503357004325,2.364809935981307,3.051307727692923
2023-10-31,3.3054898615526866,3.2451503357004325,2.364809935981307,3.090341879179268
2023-11-30,3.2326305507623747,3.1736210233222,2.364809935981307,3.0404838849113576
2023-12-31,3.6589819125062486,3.5921896236323407,2.364809935981307,3.3425030869266488
2024-01-31,3.543199375941213,3.5921896236323407,2.364809935981307,3.2705206588178384
2024-02-29,3.419705240526653,3.4669879895307347,2.364809935981307,3.19232566649894
2024-03-31,3.4816889620980453,3.529828732553762,2.364809935981307,3.2312188015260532
2024-04-30,3.596745392239718,3.6464759969706293,2.442957809659721,3.3106878300729594
2024-05-31,3.749443478381355,3.801285371885016,2.5466724019866227,3.41459873375319
2024-06-30,3.5506752197614624,3.599768832632359,2.4116663293422773,3.2686219145907223
2024-07-31,3.6821101507143923,3.7330210561334796,2.50093870089416,3.3640560048911485
2024-08-31,2.457637474998357,2.4916181393247,1.6692604029780826,2.4079009457316785
2024-09-30,2.7671165779818514,2.4916181393247,1.8794627690369208,2.5262311868057954
2024-10-31,2.719181894774274,2.4916181393247,1.84690488797362,2.5102252096434436
2024-11-30,2.7552229951270952,2.524643020658637,1.8713844877155486,2.5224266565535816
2024-12-31,2.8332287856670897,2.5961206378990784,1.9243670690262855,2.5485998199941764
2025-01-31,3.0844044723428485,2.8262758541725415,2.094968971147327,2.636946944560641
2025-02-28,3.1513107399603433,2.8262758541725415,2.1404126073146235,2.658595950058427
2025-03-31,3.1009468768584276,2.781106658890458,2.106204794619591,2.6424849363872585
2025-04-30,2.9997184130924794,2.781106658890458,2.037449061547563,2.609760444777954
2025-05-31,3.092269914185016,2.8669132448871104,2.100311284955862,2.640381212010558
2025-06-30,3.1751478126688895,2.9437512155254035,2.1566030674618477,2.6673918944722907
2025-07-31,3.405357111773283,3.1571834536592824,2.312964317362043,2.741527306705512
2025-08-31,3.455885985286003,3.2040299129733043,2.3472842073457874,2.756906905750439
2025-09-30,3.4279483497083807,3.178128300342111,2.3283085897874702,2.7359467174220065
2025-10-31,3.274748198167463,3.0360929813822115,2.2242529878937587,2.587543786862523
2025-11-30,3.3287780206820785,3.0861852495491946,2.260950769491364,2.6350548655559747
2025-12-31,3.7664730435398677,3.4919821861283484,2.558239111514869,3.020763395721624
2026-01-31,3.7034516513854077,3.4335536307651715,2.5154341349737037,2.978009317981771
2026-02-28,3.346232164912304,3.1023673806892544,2.2728058588313425,2.7203000193493545
2026-03-31,3.4686338818613005,3.1023673806892544,2.2728058588313425,2.7944284494559812
2026-04-30,3.399896390702838,3.0408881477510126,2.2728058588313425,2.753266200646919
2026-05-31,3.6206005533698473,3.238287302104266,2.2728058588313425,2.8878711196348523
2026-06-30,3.248501700878965,2.905479810256738,2.2728058588313425,2.6712354988869342
2026-07-31,3.4465693318605584,3.082632712078119,2.411383367354119,2.7748130217959592
2026-08-31,3.562392182228649,3.1862253785741284,2.411383367354119,2.834980286551978
