strategy,ann_ret,ann_vol,sharpe,t,maxdd,worst,n,skew,kurt,period,family
DIVIDEND YIELD sector-neutral long-only,0.18894208640536225,0.2284119654961797,0.8271987240025847,1.7869534787715338,-0.24050731956931803,-0.11220414843791775,56,0.6123813413318434,5.1175584525462074,OOS,B
DIVIDEND YIELD sector-neutral long-only,0.1514639543108208,0.21068426347345176,0.7189144163579484,2.235195756033566,-0.29239703294207375,-0.1200626824247154,116,0.3974387311005943,4.539533918192634,FULL,B
LOW-VOL (short = high vol) L/S,-0.22215541373339293,0.15590479719569555,-1.4249427710331322,-2.8498855420662643,-0.6199695906928779,-0.10798584541008852,48,-0.0025705081245245673,2.6182658331134046,IS,B
LOW-VOL (short = high vol) L/S,-0.006285089861867529,0.2560276392297266,-0.02454848187788073,-0.05303078186336982,-0.45691840954416807,-0.2947892533370157,56,-1.9045558262712312,7.777052721552117,OOS,B
LOW-VOL (short = high vol) L/S,-0.10591754703334079,0.21695205408563248,-0.48820716392726293,-1.4372429750112348,-0.737794225203594,-0.2947892533370157,104,-1.4780283308535056,7.529495692343331,FULL,B
LOW-VOL (short = high vol) long-only,0.07210369065089679,0.1771140978197475,0.4071030569473817,0.8142061138947632,-0.31417496214142504,-0.13391505377936147,48,-0.21690084001745746,4.051350450136159,IS,B
LOW-VOL (short = high vol) long-only,0.14114142167684923,0.1847761644313383,0.7638508035450456,1.650106330015308,-0.21025524118206562,-0.08088532004775979,56,0.4685791353540757,3.463198667611654,OOS,B
LOW-VOL (short = high vol) long-only,0.10927785351102504,0.18067968633623988,0.6048153819996233,1.7805282740324664,-0.3259952631130346,-0.13391505377936147,104,0.18097711561179672,3.7884350015065995,FULL,B
"QUALITY (ROE, -lev, -accruals) sector-neutral L/S",0.15570086022781965,0.12991321044862822,1.1984990571023466,2.634881392219303,-0.19659572317609242,-0.0932702818849945,58,-0.242678328770451,3.120374832339971,IS,B
"QUALITY (ROE, -lev, -accruals) sector-neutral L/S",-0.04449524502711527,0.11181921621708235,-0.397921274468009,-0.8596081994023834,-0.28451621530524285,-0.07403688545558627,56,0.13689193561431864,2.3051467926079994,OOS,B
"QUALITY (ROE, -lev, -accruals) sector-neutral L/S",0.057358913786799005,0.12426298987447308,0.46159289942034504,1.4227248664289125,-0.32421944479807663,-0.0932702818849945,114,0.007133748481561353,2.730199129423521,FULL,B
"QUALITY (ROE, -lev, -accruals) sector-neutral long-only",0.30779127210125745,0.20435174206306325,1.5061837447232165,3.3113213554205494,-0.2690053680604769,-0.10920626640992245,58,-0.5053690233015866,2.66522862606327,IS,B
"QUALITY (ROE, -lev, -accruals) sector-neutral long-only",0.08093318904806221,0.25789189918599015,0.3138260228550012,0.6779416928452938,-0.27661973072556645,-0.13197739863396582,56,0.9454231639800247,5.532605667371471,OOS,B
"QUALITY (ROE, -lev, -accruals) sector-neutral long-only",0.19635221375933704,0.2334891687580533,0.840947846976155,2.5919753418332108,-0.30771071039538644,-0.13197739863396582,114,0.35202511619810983,4.423005927628796,FULL,B
MULTI-FACTOR (mom+value+quality+lowvol) L/S,-0.020950511491173163,0.13454834138803448,-0.15570992013013632,-0.30486289875381384,-0.22115815361150648,-0.09631821671496538,46,-0.21810889662537508,2.868621554970283,IS,B
MULTI-FACTOR (mom+value+quality+lowvol) L/S,-0.00532164307389481,0.25426017913110655,-0.020929911605036513,-0.04521377665094638,-0.41808246340345356,-0.307914121441861,56,-1.6619947967194475,7.696181798622654,OOS,B
MULTI-FACTOR (mom+value+quality+lowvol) L/S,-0.012369956281687003,0.20802736212010176,-0.05946312136835816,-0.173363300108122,-0.4180824634034531,-0.307914121441861,102,-1.6546154464466298,9.435018150990025,FULL,B
MULTI-FACTOR (mom+value+quality+lowvol) long-only,0.11892640632780521,0.17491641896764104,0.6799041909828156,1.33117763058804,-0.28466308548684127,-0.12596604040944706,46,-0.6305916807630463,2.8725533129959837,IS,B
MULTI-FACTOR (mom+value+quality+lowvol) long-only,0.12081732818464723,0.19081756377695072,0.6331562241611693,1.3677737701238466,-0.21948340591415694,-0.09669398395725412,56,0.6050974531849976,3.911214897157911,OOS,B
MULTI-FACTOR (mom+value+quality+lowvol) long-only,0.11996455950411061,0.1829202142716172,0.6558299747340987,1.912056516936069,-0.2863844759793035,-0.12596604040944706,102,0.12874227159601653,3.5625508812927023,FULL,B
PEAD (SUE) L/S,-0.02356006184360871,0.20221082755641545,-0.11651236547674784,-0.15041681703955875,-0.136181317318389,-0.12346787959867452,20,-0.38882282488059666,2.1828489603334424,IS,C
PEAD (SUE) L/S,-0.1280575516971804,0.12290038939018236,-1.0419621315488687,-1.9259865097064834,-0.3618551547111476,-0.09314337061322042,41,0.25009995757431513,2.5491768283469116,OOS,C
PEAD (SUE) L/S,-0.09379607961404215,0.15238699991510088,-0.6155123446639058,-1.3877494440175784,-0.4735166166458168,-0.12346787959867452,61,-0.05573930193391224,2.6800297105083213,FULL,C
PEAD (SUE) long-only,0.3074017763391469,0.21103895126875408,1.4566115614727284,1.8804774398256858,-0.1854121245239454,-0.07011277619260367,20,0.2243247785615299,1.8999932478091797,IS,C
PEAD (SUE) long-only,-0.01778831459816768,0.2683593964514958,-0.06628541736708966,-0.12252347352538212,-0.30530164984048214,-0.13669089553894997,41,1.1820631235652614,5.328285025312976,OOS,C
PEAD (SUE) long-only,0.08883138734849286,0.25315816886458764,0.35089283410012373,0.7911317127166538,-0.4680735083744946,-0.13669089553894997,61,0.8696834007044619,4.46414290804457,FULL,C
