ticker,period_end,revenue,net_income,eps,bvps,cfo,total_debt,roe,shares_out,announce_date,announce_date_est
1093 HK Equity,2021-12-31,14044.595,2542.616,0.2127,2.1749,1961.993,94.044,23.1981,11949.97973,2022-03-22,False
1093 HK Equity,2022-06-30,15610.026,2966.205,0.2489,2.3504,4475.685,770.07,20.9671,11933.21973,2022-08-24,False
1093 HK Equity,2022-12-31,15326.878,3125.185,0.2622,2.5312,3393.907,582.544,21.6793,11933.21973,2023-03-22,False
1093 HK Equity,2023-06-30,16080.412,2966.987,0.2495,2.6739,1435.38,415.262,20.3493,11903.21973,2023-08-23,False
1093 HK Equity,2023-12-31,15369.697,2906.338,0.2452,2.79,3003.316,706.901,18.5234,11903.21973,2024-03-20,False
1093 HK Equity,2024-06-30,16284.282,3020.374,0.2551,3.1672,1570.726,388.87,17.775,11896.09173,2024-08-21,False
1093 HK Equity,2024-12-31,12724.972,1307.661,0.1124,2.9251,3196.435,507.33,13.2191,11638.30173,2025-03-28,False
1093 HK Equity,2025-06-30,13273.416,2547.851,0.2229,2.8872,3302.764,495.0,11.3208,11518.75173,2025-08-22,False
1093 HK Equity,2025-12-31,12732.564,1334.257,0.1169,3.0001,2713.783,641.109,11.8616,11522.45173,2026-03-25,False
1093 HK Equity,2026-06-30,18594.494,6094.212,0.5336,3.402,11005.046,652.491,20.9585,11522.45173,2026-08-20,False
1099 HK Equity,2016-06-30,126798.95,2535.507,0.92,11.3089,656.449,34131.204,14.7585,1192.81079,2016-08-22,False
1099 HK Equity,2016-12-31,131588.739,2111.837,0.7672,11.4961,6795.901,33497.877,15.0105,1192.81079,2017-03-24,False
1099 HK Equity,2017-06-30,137767.54,2764.65,1.0,11.8868,-12254.865,56758.36,15.1951,1192.81079,2017-08-28,False
1099 HK Equity,2017-12-31,170586.039,2810.934,0.8867,13.8418,13322.493,37101.298,15.9047,1192.81074,2018-03-26,False
1099 HK Equity,2018-06-30,163473.695,2798.078,0.94,13.1217,-12943.115,47980.069,16.2108,1192.81074,2018-08-27,False
1099 HK Equity,2018-12-31,181052.126,3037.764,1.0228,15.4754,13035.852,55036.385,14.3876,1192.81074,2019-03-25,False
1099 HK Equity,2019-06-30,201665.141,2975.178,1.0,14.8657,-15246.277,73755.271,14.9418,1192.81074,2019-08-26,False
1099 HK Equity,2019-12-31,223607.585,3277.359,1.1029,15.9582,29292.427,55139.254,13.857,1192.81074,2020-03-30,False
1099 HK Equity,2020-06-30,203764.712,2895.682,0.93,16.6534,-29618.813,110115.136,12.841,1341.81074,2020-08-24,False
1099 HK Equity,2020-12-31,252649.8988,4294.3042,1.3761,18.0599,36844.0028,68526.83,13.8509,1341.81074,2021-03-22,False
1099 HK Equity,2021-06-30,249120.231,3582.839,0.5741,18.5182,-27768.363,115977.691,14.3487,1341.81074,2021-08-22,False
1099 HK Equity,2021-12-31,271931.004,4175.807,1.3381,19.8311,33022.014,68368.246,13.123,1341.81074,2022-03-20,False
1099 HK Equity,2022-06-30,261471.723,3693.744,1.18,20.2653,-36001.485,122498.007,13.0043,1341.81074,2022-08-29,False
1099 HK Equity,2022-12-31,290675.827,4831.911,1.5484,21.8123,52826.99,69590.186,13.121,1341.81074,2023-03-27,False
1099 HK Equity,2023-06-30,300950.28,4104.439,1.32,22.3045,-44647.663,94834.447,13.4538,1341.81074,2023-08-28,False
1099 HK Equity,2023-12-31,295619.285,4949.321,1.584,23.8995,59224.283,73781.852,12.6936,1341.81074,2024-03-25,False
1099 HK Equity,2024-06-30,294726.81,3703.875,1.19,24.2071,-42152.0,134820.042,11.9234,1341.81074,2024-08-26,False
1099 HK Equity,2024-12-31,289781.1194,3340.2321,1.0717,25.3601,49029.448,115045.1388,9.1705,1341.81074,2025-03-24,False
1099 HK Equity,2025-06-30,286042.998,3465.686,1.11,25.7102,-35453.503,127331.783,8.7382,1341.81074,2025-08-25,False
1099 HK Equity,2025-12-31,289124.879,3689.408,1.1823,26.9025,47674.318,108580.943,8.7795,1341.81074,2026-03-23,False
1099 HK Equity,2026-06-30,282799.605,3403.773,1.09,27.3011,23762.76,106687.424,8.5756,1341.81074,2026-08-24,False
1109 HK Equity,2016-06-30,37548.4623,6434.2869,0.9281,14.3635,-758.954,71999.5212,16.4724,6930.93945,2016-08-26,False
1109 HK Equity,2016-12-31,56300.2657,10314.5921,1.4882,15.0356,11659.5947,83241.9042,16.8103,6930.93945,2017-03-22,False
1109 HK Equity,2017-06-30,31170.633,4514.107,0.65,17.5495,-14968.866,105753.701,13.4073,6930.93945,2017-08-23,False
1109 HK Equity,2017-12-31,70771.886,15176.293,2.1896,17.2731,20961.556,105556.188,17.5863,6930.93958,2018-03-20,False
1109 HK Equity,2018-06-30,43778.11,8988.578,1.28,17.7967,-14697.366,135903.263,19.6155,6930.93958,2018-08-21,False
1109 HK Equity,2018-12-31,77410.816,15536.922,2.22,19.9649,37404.866,132211.715,18.7822,6930.93958,2019-03-26,False
1109 HK Equity,2019-06-30,45848.952,12874.389,1.84,20.808,4444.152,148002.94,21.014,6930.93958,2019-08-20,False
1109 HK Equity,2019-12-31,102318.283,16198.517,2.2947,23.631,23156.93,137936.094,18.7585,7130.93958,2020-03-26,False
1109 HK Equity,2020-06-30,45018.244,11593.795,1.59,23.9794,-6631.68,166564.881,17.2644,7130.93958,2020-08-26,False
1109 HK Equity,2020-12-31,134718.648,18267.818,2.5618,27.4966,24622.706,170429.282,16.139,7130.93958,2021-03-30,False
1109 HK Equity,2021-06-30,73741.795,13125.377,1.84,28.2334,-16533.628,176256.441,16.8633,7130.93958,2021-08-25,False
1109 HK Equity,2021-12-31,138366.563,19275.862,2.7031,30.732,19078.317,185776.983,15.6066,7130.93958,2022-03-30,False
